setting,macro_f1,delta_macro_f1,recall,delta_recall,fpr,delta_fpr,auprc,ece,brier
L0_full,0.9033,0.0,0.9031,0.0,0.0964,0.0,0.9236,0.0414,0.0985
L1_minus_fraud,0.8929,-0.0104,0.8772,-0.0259,0.0918,-0.0046,0.8527,0.1722,0.162
L2_minus_refusal,0.8203,-0.083,0.6785,-0.2246,0.0342,-0.0622,0.8246,0.1608,0.2253
L3_minus_context,0.8685,-0.0348,0.8901,-0.013,0.1524,0.056,0.893,0.1205,0.1397
L4_minus_artifact_view,0.8969,-0.0064,0.8901,-0.013,0.0964,0.0,0.9078,0.1404,0.1322
L5_minus_correction,0.9033,0.0,0.9031,0.0,0.0964,0.0,0.9236,0.0414,0.0985
L6_minus_evidence_spans,0.8969,-0.0064,0.8901,-0.013,0.0964,0.0,0.9078,0.1404,0.1322
L7_minus_calibration,0.9033,0.0,0.9031,0.0,0.0964,0.0,0.9236,0.0342,0.0916
